abstrakt	abstraktur
afhenda	afhendur
afskaplega	afskaplegur
afskekkt	afskekktur
aftastur	aftari
alda	alinn
alfarið	alfarinn
algerlega	algerlegur
almennilega	almennilegur
almennt	almennur
alsæla	alsæll
alvarlega	alvarlegur
andstæða	andstæður
annríki	annríkur
arabíska	arabískur
arga	argur
atkvæði	atkvæður
augljóslega	augljóslegur
austræna	austrænn
auðmýkt	auðmýktur
auðveldlega	auðveldlegur
auðvitað	auðvitaður
aðallega	aðallegur
aðgengi	aðgengur
baga	bagur
bagi	bagur
bein	beinn
beina	beinn
beint	beinn
beisklega	beisklegur
benda	bendur
bendir	bendur
bera	ber
berast	ber
beri	ber
bernska	bernskur
betra	góður
birgir	birgur
birta	birtur
bitna	bitinn
blessunarlega	blessunarlegur
blinda	blindur
blíða	blíður
blíðlega	blíðlegur
bogna	boginn
bratti	brattur
breidd	breiddur
breiða	breiður
bretta	brettur
bretti	brettur
brotna	brotinn
brydda	bryddur
bráð	bráður
bráðlega	bráðlegur
bráðlyndi	bráðlyndur
bráðna	bráðinn
bráðum	bráður
brún	brúnn
brýna	brýnn
brýni	brýnn
bylta	byltur
byrði	byrður
bíræfni	bíræfinn
bólgna	bólginn
daglega	daglegur
dauði	dauður
deig	deigur
deild	deildur
deyfð	deyfður
dimma	dimmur
djarflega	djarflegur
djúp	djúpur
djúpt	djúpur
dofna	dofinn
dreifa	dreifur
dreifbýli	dreifbýll
drenglyndi	drenglyndur
drjúpa	drjúpur
drukkna	drukkinn
dyggilega	dyggilegur
dálítið	dálítill
dásama	dásamur
dæla	dæll
dónalega	dónalegur
efalaust	efalaus
eflaust	eflaus
efna	efinn
efni	efinn
eftirláta	eftirlátur
eftirmáli	eftirmáll
eilíft	eilífur
einasti	einn
einfalda	einfaldur
einlæglega	einlæglegur
einræða	einræður
einræði	einræður
einslega	einslegur
elska	elskur
elta	eltur
endanlega	endanlegur
endurheimta	endurheimtur
endursenda	endursendur
erfiði	erfiður
ertni	ertinn
espa	espur
eðla	eðall
falda	falinn
fallega	fallegur
fals	falur
fast	fastur
fasta	fastur
fegra	fagur
feimni	feiminn
feiti	feitur
ferma	fermur
festa	festur
fimmfalt	fimmfaldur
fjarlægð	fjarlægður
fjaðurpenni	fjaður-penn
fjárfesta	fjárfestur
fjórfalda	fjórfaldur
fjölbreytni	fjölbreytinn
fleygir	fleygur
fljóta	fljótur
fljótt	fljótur
flogaveiki	flogaveikur
flá	flár
flónska	flónskur
forheimska	forheimskur
formlega	formlegur
fornenska	fornenskur
forspá	forspár
forvitni	forvitinn
framan	framur
framkvæmd	framkvæmdur
framsenda	framsendur
frekar	frekur
friðhelgi	friðhelgur
frá	frár
frí	frír
frísneska	frísneskur
fullkomlega	fullkomlegur
fullkomna	fullkominn
fyllilega	fyllilegur
fyrst	fyrstur
fyrsta	fyrstur
fágæti	fágætur
fáni	fáinn
fátækt	fátækur
færa	fær
færi	fær
féfletta	féflettur
fúna	fúinn
fúslega	fúslegur
gagngert	gagngerður
gagnrýna	gagnrýninn
gagnsæi	gagnsær
gaumgæfni	gaumgæfinn
gefins	gefinn
gelda	geldur
gelt	geltur
gelta	geltur
gengi	gengur
gera	ger
germanska	germanskur
gerð	gerður
gestrisni	gestrisinn
gifta	giftur
giftusamlega	giftusamlegur
gildi	gildur
gildra	gildur
gjafmildi	gjafmildur
gjalla	gjallur
gjarnan	gjarn
gjörsamlega	gjörsamlegur
gleypa	gleypur
gljá	gljár
gljái	gljár
glæsilega	glæsilegur
glögglega	glögglegur
gott	góður
grannt	grannur
